antecedent,consequent,support,confidence,lift
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,0.02489229296314026,0.4406779661016949,11.802259887005649
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN,0.02489229296314026,0.6666666666666666,11.802259887005649
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.03973192915270465,0.7033898305084746,13.237669873263092
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.03973192915270465,0.7477477477477478,13.237669873263094
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED,0.02202010531354715,0.5897435897435898,11.098868098868099
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE PINK,0.02202010531354715,0.4144144144144144,11.098868098868099
HOT WATER BOTTLE I AM SO POORLY,CHOCOLATE HOT WATER BOTTLE,0.03446625179511728,0.6260869565217391,7.473689440993788
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE I AM SO POORLY,0.03446625179511728,0.4114285714285714,7.473689440993788
HOT WATER BOTTLE TEA AND SYMPATHY,CHOCOLATE HOT WATER BOTTLE,0.024413595021541407,0.4811320754716981,5.743342318059299
RETROSPOT HEART HOT WATER BOTTLE,CHOCOLATE HOT WATER BOTTLE,0.026328386787936812,0.4014598540145985,4.792283628779979
CHOCOLATE HOT WATER BOTTLE,SCOTTIE DOG HOT WATER BOTTLE,0.03350885591191958,0.4,4.642222222222222
HAND WARMER OWL DESIGN,HAND WARMER BIRD DESIGN,0.03207276208712303,0.5317460317460319,8.544749694749697
HAND WARMER BIRD DESIGN,HAND WARMER OWL DESIGN,0.03207276208712303,0.5153846153846154,8.544749694749695
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER BIRD DESIGN,0.02967927237912877,0.5794392523364486,9.31114306254493
HAND WARMER BIRD DESIGN,HAND WARMER SCOTTY DOG DESIGN,0.02967927237912877,0.47692307692307695,9.311143062544932
HAND WARMER RED RETROSPOT,HAND WARMER OWL DESIGN,0.023456199138343705,0.48514851485148514,8.043454345434544
HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN,0.032551460028721876,0.5396825396825397,10.536418928942291
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN,0.032551460028721876,0.6355140186915887,10.536418928942293
HAND WARMER UNION JACK,HAND WARMER OWL DESIGN,0.023456199138343705,0.4117647058823529,6.826797385620915
HAND WARMER RED RETROSPOT,HAND WARMER SCOTTY DOG DESIGN,0.0215414073719483,0.4455445544554455,8.69852873137781
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER RED RETROSPOT,0.0215414073719483,0.4205607476635514,8.69852873137781
HAND WARMER UNION JACK,HAND WARMER RED RETROSPOT,0.02489229296314026,0.43697478991596633,9.038023130044095
HAND WARMER RED RETROSPOT,HAND WARMER UNION JACK,0.02489229296314026,0.5148514851485149,9.038023130044097
HAND WARMER UNION JACK,HAND WARMER SCOTTY DOG DESIGN,0.023456199138343705,0.4117647058823529,8.039032435404067
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER UNION JACK,0.023456199138343705,0.45794392523364486,8.039032435404067
HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.027285782671134514,0.47107438016528924,7.688081095041322
HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.027285782671134514,0.4453125,7.688081095041322
HEART OF WICKER LARGE,WHITE HANGING HEART T-LIGHT HOLDER,0.02489229296314026,0.42975206611570244,3.5910082644628094
JAM MAKING SET WITH JARS,JAM MAKING SET PRINTED,0.02202010531354715,0.46938775510204084,7.782150955620343
KNITTED UNION FLAG HOT WATER BOTTLE,RED WOOLLY HOTTIE WHITE HEART,0.024413595021541407,0.4396551724137931,7.175309806034482
PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.04978458592628052,0.45414847161572053,5.548047702954621
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,0.04978458592628052,0.608187134502924,5.548047702954621
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM,0.02202010531354715,0.7666666666666667,28.097660818713454
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,0.02202010531354715,0.8070175438596491,28.09766081871345
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.036381043561512685,0.6666666666666666,5.570666666666666
RETROSPOT HEART HOT WATER BOTTLE,SCOTTIE DOG HOT WATER BOTTLE,0.032551460028721876,0.4963503649635036,5.760421735604217
WOODEN FRAME ANTIQUE WHITE,WHITE HANGING HEART T-LIGHT HOLDER,0.02202010531354715,0.4144144144144144,3.4628468468468467
WOODEN PICTURE FRAME WHITE FINISH,WHITE HANGING HEART T-LIGHT HOLDER,0.022498803255146003,0.5222222222222223,4.3636888888888885
WOOD S/3 CABINET ANT WHITE FINISH,WOOD 2 DRAWER CABINET WHITE FINISH,0.02202010531354715,0.6216216216216216,15.277265500794911
WOOD 2 DRAWER CABINET WHITE FINISH,WOOD S/3 CABINET ANT WHITE FINISH,0.02202010531354715,0.5411764705882353,15.277265500794911
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.031115366203925323,0.7222222222222222,13.592092092092091
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.031115366203925323,0.5855855855855856,13.592092092092093
