Month,antecedent,consequent,support,confidence,lift
January,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.03711558854718982,0.7,12.454716981132075
January,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.03711558854718982,0.6603773584905661,12.454716981132076
January,CANDLEHOLDER PINK HANGING HEART,RED HANGING HEART T-LIGHT HOLDER,0.032873806998939555,0.607843137254902,6.905976848570754
January,CANDLEHOLDER PINK HANGING HEART,WHITE HANGING HEART T-LIGHT HOLDER,0.042417815482502653,0.7843137254901962,4.963811027766812
January,HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.06574761399787911,0.5535714285714286,6.14138655462185
January,HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.06574761399787911,0.7294117647058824,6.14138655462185
January,HEART OF WICKER LARGE,WHITE HANGING HEART T-LIGHT HOLDER,0.044538706256627786,0.4941176470588236,3.1272009474930917
January,LOVE BUILDING BLOCK WORD,HEART OF WICKER SMALL,0.031813361611876985,0.4166666666666666,3.508184523809523
January,LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD,0.03711558854718982,0.48611111111111105,6.741217320261437
January,HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,0.03711558854718982,0.5147058823529411,6.741217320261437
January,JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,0.031813361611876985,0.43478260869565216,5.256410256410256
January,JAM MAKING SET WITH JARS,SET OF 3 CAKE TINS PANTRY DESIGN,0.042417815482502653,0.5128205128205129,3.748757702246075
January,LOVE BUILDING BLOCK WORD,WHITE HANGING HEART T-LIGHT HOLDER,0.031813361611876985,0.4166666666666666,2.637024608501118
January,RECIPE BOX PANTRY YELLOW DESIGN,SET OF 3 CAKE TINS PANTRY DESIGN,0.036055143160127257,0.6181818181818183,4.518957011980269
January,RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.05620360551431601,0.6385542168674698,4.041319640980027
January,SET OF 3 BUTTERFLY COOKIE CUTTERS,SET OF 3 HEART COOKIE CUTTERS,0.032873806998939555,0.738095238095238,7.484126984126983
January,SET OF 3 CAKE TINS PANTRY DESIGN,SET OF 6 SPICE TINS PANTRY DESIGN,0.06362672322375397,0.46511627906976744,5.482558139534883
January,SET OF 6 SPICE TINS PANTRY DESIGN,SET OF 3 CAKE TINS PANTRY DESIGN,0.06362672322375397,0.7499999999999999,5.482558139534883
January,SET OF 6 SPICE TINS PANTRY DESIGN,SET OF 6 HERB TINS SKETCHBOOK,0.033934252386002124,0.4,8.025531914893618
January,SET OF 6 HERB TINS SKETCHBOOK,SET OF 6 SPICE TINS PANTRY DESIGN,0.033934252386002124,0.6808510638297873,8.025531914893618
February,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.03582718651211802,0.7555555555555556,13.788888888888891
February,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.03582718651211802,0.6538461538461539,13.78888888888889
February,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.04847207586933614,0.7540983606557377,12.338609383832672
February,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.04847207586933614,0.793103448275862,12.338609383832672
February,ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.0505795574288725,0.7999999999999999,13.089655172413792
February,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.0505795574288725,0.8275862068965517,13.089655172413792
February,HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.04952581664910432,0.5108695652173914,6.060190217391305
February,HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.04952581664910432,0.5875,6.0601902173913045
February,JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,0.03582718651211802,0.4857142857142857,6.49215291750503
February,JAM MAKING SET WITH JARS,JAM MAKING SET PRINTED,0.03582718651211802,0.4788732394366197,6.49215291750503
February,JAM MAKING SET PRINTED,SET OF 3 CAKE TINS PANTRY DESIGN,0.032665964172813484,0.4428571428571428,3.3354875283446708
